symbol,side,chain_id,resource,thumb,contract,resource_type,maker,show_decimals,token_uri,token_id,price,collect_name,creator_status,decimals,name,taker,order_id,erc_type
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/a60e277e9ab3644f86e9c2caa68373ba.mp4,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,video,0x49e6d44fdcd36ce48365b4fd159cf3cfca380825,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/495.json,495,1499000000000000000,ALPACA FINANCE,0,18,Little Al and the Magical Alpaca Farm: Episode 1,0x0000000000000000000000000000000000000000,240681,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/ba6439f634c179e37fcb34a59695e69b.png,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0xea154a4cc6dfbc1d1bcfd196d40b52497a7121b4,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/8307.json,8307,480000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,240676,erc1155
BNB,1,56,https://dashboard.mypinata.cloud/ipfs/QmcgwYdp83t9nBkKG8iXW4UQhyoYjztrDGmdKPcJPMoHPk,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0xef39ea744afd9bc4a2bdfd3354a58c409bd647fc,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/33671.json,33671,128800000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,240654,erc1155
BNB,1,56,https://dashboard.mypinata.cloud/ipfs/QmcgwYdp83t9nBkKG8iXW4UQhyoYjztrDGmdKPcJPMoHPk,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0xb9db7a402f65093fe86bacfa53ee22bfa7209c2e,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/33655.json,33655,145000000000000000,ALPACA FINANCE,0,18,Alpaca Finance Game Night,0x0000000000000000000000000000000000000000,240428,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/08cd125dc052f904d026564bc90bbb88,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x75985055c5ac5b34f1eaf2b95a08e79131dae595,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/33291.json,33291,350000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,240335,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/bd51b98a8308aa760f57e6a01adda4f8,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x7ddbcd8c31d33d63f7d589b076e9bdc1bb126af6,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/19463.json,19463,80000000000000000,ALPACA FINANCE,0,18,APE III - PhDPaca,0x0000000000000000000000000000000000000000,240293,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/d70c7cd2a6aac5f73976b15560e15b9c.mp4,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,video,0x63ad14cb5618259dfb101df86ab37295f64923af,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/33644.json,33644,1200000000000000000,ALPACA FINANCE,0,18,Little Al and the Magical Alpaca Farm: Episode 2,0x0000000000000000000000000000000000000000,240289,erc1155
BNB,1,56,https://dashboard.mypinata.cloud/ipfs/QmcgwYdp83t9nBkKG8iXW4UQhyoYjztrDGmdKPcJPMoHPk,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0xe430d0a7c6140447ca64c16ce09466c808bd077b,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/33652.json,33652,169900000000000000,ALPACA FINANCE,0,18,Alpaca Finance Game Night,0x0000000000000000000000000000000000000000,240258,erc1155
BNB,1,56,https://dashboard.mypinata.cloud/ipfs/QmcgwYdp83t9nBkKG8iXW4UQhyoYjztrDGmdKPcJPMoHPk,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0xb5cc0d9499ed01ffd36847474d97386a0d20ac42,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/33662.json,33662,170000000000000000,ALPACA FINANCE,0,18,Alpaca Finance Game Night,0x0000000000000000000000000000000000000000,240250,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/08cd125dc052f904d026564bc90bbb88,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0xb3180e90610fb5844d010a89692eca16576294ce,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/33534.json,33534,350000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,240214,erc1155
